,通话ID,是否合格,命中词语,命中词语数量
0,9144800540740000301,不合格,,0
1,9144800551490000301,合格,"您好, 大金, 空调, 客服, 请问, 女士",6
2,9144800551970000301,合格,"请问, 先生, 您好, 大金",4
3,9144800564010000301,合格,"您好, 大金, 空调, 请问",4
4,9144800566770000301,合格,"您好, 先生, 空调, 客服",4
5,9144800573730000301,合格,"您好, 大金, 空调, 客服, 请问, 先生",6
6,9144800580160000301,不合格,,0
7,9144800585950000301,合格,"您好, 大金, 空调, 客服, 请问, 先生",6
8,9144800588150000301,合格,"您好, 空调, 请问, 先生",4
9,9144800589070000301,合格,"您好, 大金, 空调, 客服",4
10,9144800589370000301,不合格,"您好, 先生",2
11,9144800598720000301,合格,"您好, 大金, 空调",3
12,9144800599430000301,合格,"先生, 您好, 大金, 空调",4
13,9144800603990000301,不合格,,0
14,9144800616140000301,合格,"您好, 空调, 客服, 请问, 先生",5
15,9144800626240000301,合格,"您好, 空调, 客服",3
16,9144800632630000301,合格,"您好, 客服, 请问, 先生, 大金, 空调",6
17,9144800634630000301,不合格,,0
18,9144800636930000301,合格,"您好, 大金, 空调, 客服",4
19,9144800650110000301,不合格,"您好, 请问",2
20,9144800674940000301,不合格,请问,1
21,9144800677970000301,合格,"您好, 大金, 空调, 客服, 请问, 先生",6
22,9144800691040000301,合格,"您好, 客服, 先生",3
23,9144800713730000301,合格,"您好, 大金, 空调, 客服, 请问, 先生",6
24,9144800728710000301,合格,"您好, 大金, 空调, 客服, 请问, 先生",6
25,9144800731440000301,合格,"您好, 大金, 空调, 客服, 请问, 先生",6
26,9144800736370000301,合格,"您好, 大金, 空调, 客服, 请问, 女士",6
27,9144800745000000301,合格,"您好, 先生, 大金, 空调, 客服",5
28,9144800756850000301,合格,"您好, 大金, 空调, 客服, 请问",5
29,9144800763770000301,合格,"您好, 大金, 空调, 客服",4
30,9144800770910000301,合格,"您好, 大金, 空调, 客服, 请问, 先生",6
31,9144800788350000301,合格,"您好, 空调, 客服, 请问, 女士",5
32,9144801267650000301,不合格,"请问, 售后",2
33,9144801271330000301,合格,"您好, 大金, 空调, 客服",4
